gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,High_expression_mean_tpm,Low_expression_mean_tpm
ENSG00000010292,859.4270277048421,1.0622190843015091,0.25016383856236923,4.246093641694276,2.1752974689909893e-5,0.021347016070708512,NCAPD2,10.517901166666666,3.7359804375000003
ENSG00000017427,448.87154083237226,-2.3630396813430545,0.557717215421287,-4.236985368217597,2.2654089273718355e-5,0.021347016070708512,IGF1,2.2942971666666665,6.7302483125000006
ENSG00000071539,148.0935758905944,1.2440897562420277,0.3009048271420215,4.134495840622857,3.557346959028418e-5,0.027669691437679222,TRIP13,3.893373,1.425143
ENSG00000087586,162.00450181753882,1.8831605683819244,0.38314385210451973,4.9150222769807295,8.87723647417598e-7,0.002170103864944277,AURKA,6.609353333333333,1.275399125
ENSG00000088325,445.2142945020956,2.2694664390196886,0.584826104936966,3.880583338981247,1.0420622970617807e-4,0.043492122017856565,TPX2,6.994521833333334,0.9540045
ENSG00000093009,84.76468896669454,2.5901739214146993,0.6812826604809168,3.8019078888435205,1.4358611246983088e-4,0.049089808607122226,CDC45,3.657435333333334,0.6460748125
ENSG00000101003,213.85502762337796,1.6329063475206183,0.364399837904321,4.481084176413283,7.4264811219847245e-6,0.01155290408721842,GINS1,5.612755333333333,1.617019875
ENSG00000101057,341.53219242513575,2.4293148022581,0.6377896891491396,3.8089590402425486,1.3955307079144163e-4,0.049089808607122226,MYBL2,5.932370166666667,0.530405125
ENSG00000101447,115.10439572944982,2.363131142855221,0.6236291657851524,3.789321078144295,1.510595664005915e-4,0.04971021731244081,FAM83D,3.140239166666667,0.3811718125
ENSG00000103355,10.46187929370553,19.19375826045152,2.4501032256547393,7.833856981810383,4.731269380888626e-15,2.6987160548588723e-11,PRSS33,0.6922851666666666,0.0044389375
ENSG00000107807,25.21871038870839,25.81822391777372,1.698129973522972,15.203915083255232,3.3310360412967075e-52,5.700068873866926e-48,TLX1,1.1851486666666666,0.0044346875
ENSG00000109181,8.265087310729577,-21.4628854060336,5.090003688084793,-4.216673841764819,2.4793216923741273e-5,0.021347016070708512,UGT2B10,0,0.212043125
ENSG00000111665,163.70907545296987,1.8147042109804905,0.34941969228188213,5.193480078725904,2.063990369019253e-7,8.829750798664364e-4,CDCA3,5.341952833333333,1.1778
ENSG00000112562,946.2323014103738,-2.0098037201532457,0.4417544234537563,-4.549595009009877,5.374926187452674e-6,0.009197573691969016,SMOC2,6.2079976666666665,7.0956200625
ENSG00000113296,628.0831381543925,-2.9052990619953674,0.73945347390453,-3.9289815580343967,8.53063806687759e-5,0.04293419958835569,THBS4,2.4286883333333336,4.46656
ENSG00000116039,158.43635407908192,3.131072953487009,0.7987371045231056,3.9200294261482305,8.853815734530216e-5,0.043287569956937444,ATP6V1B1,10.244589,1.3659350625
ENSG00000117650,231.07318449126046,1.6116289220560343,0.39825530431533607,4.046723055771171,5.1939630617768825e-5,0.034184267658894624,NEK2,6.776914,2.2599560625
ENSG00000117724,994.6966478720161,1.7627873502021112,0.44277594652566166,3.9812175074870435,6.85631725974073e-5,0.040457000327132196,CENPF,15.443549333333333,4.9269400625
ENSG00000119333,540.7949550377542,1.2994759555186626,0.3399998380046523,3.8219899254801457,1.3237909926422083e-4,0.049089808607122226,WDR34,16.7022835,3.6548026875
ENSG00000119969,381.43509704498217,1.4006497545416294,0.3237522473517244,4.326301256590085,1.5163400672442561e-5,0.017298407487122473,HELLS,17.066554166666666,5.896405812499999
ENSG00000122966,331.946289884282,1.9217303597737163,0.3905335699892573,4.920781483206626,8.61993291620216e-7,0.002170103864944277,CIT,4.436692666666667,1.1817363749999998
ENSG00000123485,227.93102706664334,1.3029561491219095,0.33724348139159205,3.8635473211978115,1.1175223230715027e-4,0.04553105236285608,HJURP,3.001497666666667,1.2090343125
ENSG00000127083,60.91355687127032,-2.235786503264069,0.5688883163349651,-3.9300974181857233,8.491145198392694e-5,0.04293419958835569,OMD,0.9763416666666667,1.5827308125
ENSG00000130826,510.43484694095866,1.0216732047943742,0.259906558516321,3.9309250625555783,8.461964616116983e-5,0.04293419958835569,DKC1,15.0455675,6.4396015625
ENSG00000132749,277.6687609085366,2.515857699696276,0.6618421807532391,3.8012954943926234,1.4394151570841705e-4,0.049089808607122226,TESMIN,12.109716166666667,1.940331
ENSG00000135476,283.00775414098183,1.6352431687196145,0.42683092307171083,3.8311262852079753,1.2755800978679686e-4,0.049089808607122226,ESPL1,3.653807666666667,0.948717625
ENSG00000137310,215.61642940928516,1.0840068625657544,0.272069198069292,3.9843057216997932,6.767769861841518e-5,0.040457000327132196,TCF19,2.813635,0.9075020625
ENSG00000138180,92.31448506058993,1.6790301144721167,0.34947266168126245,4.8044676982587005,1.55163747357685e-6,0.003318952555980882,CEP55,4.3313335,1.105374125
ENSG00000138615,4016.3359775930026,-3.7653039989783914,0.732392171255646,-5.141103560027116,2.7312944833236193e-7,9.347582239726755e-4,CILP,5.3865515,13.1352121875
ENSG00000142945,146.69305689571922,1.698179501319665,0.4151752412736851,4.0902716070205605,4.308683195210103e-5,0.032056602972363166,KIF2C,4.1812059999999995,0.81255675
ENSG00000143196,559.0848042929877,-2.452693039577763,0.5586923494029811,-4.390060186431247,1.1331929203413787e-5,0.014916305579139748,DPT,2.3575433333333335,6.8952098125
ENSG00000144645,785.6029133473353,-1.0388418194182532,0.26717720290092967,-3.8882127971204925,1.0098507227419253e-4,0.043492122017856565,OSBPL10,6.065454666666667,7.0641595624999995
ENSG00000146670,151.10102947094663,2.4083185423244933,0.5412910680636489,4.4492116800296175,8.618604152771142e-6,0.012290129521851649,CDCA5,4.4925955,0.4669345625
ENSG00000155622,7.3583829630077675,22.391924975753724,5.12959956027229,4.365238399732925,1.2698419002140004e-5,0.015521096140329982,XAGE2,0.0231565,0.2713634375
ENSG00000156802,737.4208685142304,1.4580220405744255,0.3458918878429508,4.215253643752489,2.494976165346951e-5,0.021347016070708512,ATAD2,19.475496166666666,6.1617670625
ENSG00000162604,539.4411335796253,-1.0470180553973356,0.2756589010663583,-3.7982377907880105,1.457284832467155e-4,0.049089808607122226,TM2D1,14.088581999999999,16.3660928125
ENSG00000162989,237.27767727121412,3.21102405764932,0.8346034491406277,3.847364950331369,1.1939505213780337e-4,0.04751367749260677,KCNJ3,6.1041231666666675,0.4929056875
ENSG00000163507,144.09391397336952,1.4937191196411672,0.38379238599251286,3.891997794011232,9.942214921676238e-5,0.043492122017856565,CIP2A,4.319083166666667,1.6954299375
ENSG00000163751,156.7183287604629,-2.9174097157460475,0.6269842710242288,-4.653082781455149,3.270088880433878e-6,0.006217528991331613,CPA3,0.9932298333333334,3.328394875
ENSG00000166482,952.3484559533189,-2.0668212402534434,0.5188182650399183,-3.9837094788758454,6.78478100792007e-5,0.040457000327132196,MFAP4,3.7068551666666667,11.3409605
ENSG00000166851,261.19578564752163,1.733816203009208,0.41643509660382166,4.163472812808296,3.1344336267342425e-5,0.025541156295560172,PLK1,3.9468903333333327,1.074158875
ENSG00000175063,212.71106966028285,2.4451931887233886,0.6214512739134744,3.9346498935069145,8.331805812597974e-5,0.04293419958835569,UBE2C,19.772334999999998,2.1752495625
ENSG00000179168,46.690753678762455,1.525039828511853,0.39222899212295576,3.888136418110021,1.010168485817422e-4,0.043492122017856565,GGN,0.9068333333333333,0.5981228125
ENSG00000183856,499.4426448845335,2.5808152017094046,0.6501715283361733,3.969437431863343,7.2042520424326e-5,0.04109305365003555,IQGAP3,5.178914000000001,0.67745875
ENSG00000186193,270.5918417713242,2.359796549415631,0.5796019006910454,4.07140926660541,4.6729564103839824e-5,0.033318179206037794,SAPCD2,4.010517,0.4230359375
ENSG00000187733,17.037577004630773,-19.958220225436424,4.925512707087049,-4.052008676522068,5.077978146189278e-5,0.034184267658894624,AMY1C,0,0.2542624375
ENSG00000187955,4863.863015027153,-2.6086464185221527,0.6085230801688842,-4.286848771287642,1.8122557622306776e-5,0.019382075377057096,COL14A1,4.687227166666666,19.225940625
ENSG00000196620,27.759726940126466,-5.503814866841267,1.4111765761299881,-3.9001603059022805,9.612901665183513e-5,0.043492122017856565,UGT2B15,0.07038799999999999,0.6148456875
ENSG00000204019,3.7338851447391765,-23.612787496485968,2.7220918465186683,-8.674500651653169,4.153690639386029e-18,3.5538977110586864e-14,CT83,0,0.21472431250000001
ENSG00000248144,18.876099267596697,-3.4975212112966014,0.9009715759999585,-3.8819440085163825,1.0362473996980639e-4,0.043492122017856565,ADH1C,0.07895033333333333,0.4893473125
ENSG00000260287,5.710574670486724,19.44432575704959,5.1206228504700695,3.797257936163882,1.463055305611988e-4,0.049089808607122226,TBC1D3G,0.19332466666666667,0.013152125
ENSG00000276043,508.62397183980386,1.1975491909930407,0.3140647203327122,3.813064994133653,1.3725399958643836e-4,0.049089808607122226,UHRF1,4.5652471666666665,1.328881125
