gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,pCR_expression_mean_tpm,non-pCR_expression_mean_tpm
ENSG00000000457,630.8077492711598,-0.4393719821122478,0.14830768706252742,-2.9625705235832176,0.0030508191274992544,0.03539657744859128,SCYL3,47.452908,122.502011
ENSG00000000938,237.91817518017132,1.01539952088876,0.28510755838375945,3.5614612486772996,3.687965461362774e-4,0.008935698651327552,FGR,44.26602,45.650938
ENSG00000001497,636.255700214431,0.3435203379208387,0.11188967055351433,3.0701702509396576,0.002139367807046333,0.02796964414300621,LAS1L,62.787296000000005,102.53921600000001
ENSG00000002549,1165.9296004924877,0.8270905025018418,0.19822335673550376,4.172517891549265,3.0125193535533682e-5,0.001776418614888204,LAP3,283.072368,399.49303599999996
ENSG00000003056,1260.233179733185,0.5979952412001703,0.15259446003970023,3.9188528931167683,8.897139331169217e-5,0.0034709046532994774,M6PR,298.474438,404.578078
ENSG00000003402,6372.053032428662,0.3577961621682828,0.12592455264658803,2.8413534505256584,0.0044922493472360275,0.044761962007696304,CFLAR,616.647344,1028.196514
ENSG00000004468,272.2181129464908,1.79941825616921,0.45644479353694123,3.942247302736686,8.072168000215031e-5,0.0031930117561780806,CD38,46.728392,35.531956
ENSG00000004660,429.95265773036186,-0.4112890475385486,0.13970195113397701,-2.94404655196343,0.0032395126875332217,0.03666059301547077,CAMKK1,22.722084,53.680141
ENSG00000004777,322.07765918759196,-0.7828817618855177,0.2693090281708888,-2.907001548380115,0.003649113914696263,0.03924363842072896,ARHGAP33,39.033322,137.034321
ENSG00000005059,305.46213380266806,0.7328006882130204,0.216676576485334,3.382002337768249,7.195953223146048e-4,0.013614679463013474,MCUB,150.191862,161.524177
ENSG00000005302,606.1172743577239,0.46265844491863184,0.1583166622877466,2.9223610341009616,0.0034738860286904687,0.03804721665292735,MSL3,93.35005000000001,130.926112
ENSG00000005810,3144.2837464200848,0.40149764709209407,0.14267087615582782,2.814152810371549,0.004890597433838939,0.04715655995020777,MYCBP2,287.875984,404.840473
ENSG00000005844,1062.12263407815,0.6714959535994756,0.16971055532583312,3.956712959369247,7.598814688062124e-5,0.0030555139250413397,ITGAL,194.099716,237.338547
ENSG00000006283,88.72047704718521,-1.6042483390136306,0.4795900966041094,-3.345040588563072,8.227052978442738e-4,0.014760964568600479,CACNA1G,2.8334539999999997,9.884973
ENSG00000006555,178.74507809582923,-0.6848374068419796,0.24597323120218131,-2.7841948633795335,0.005366078497050373,0.04988125790955529,TTC22,12.583299,29.599814
ENSG00000006788,120.63070182874957,-1.3246225516864902,0.30889837969865025,-4.288214632199569,1.801150085982207e-5,0.0012870613609541302,MYH13,2.415212,9.04989
ENSG00000007001,15.005057619238467,-1.8368732683653797,0.44579172335579426,-4.120474141013467,3.7809350328200636e-5,0.0020511271330905206,UPP2,1.8485280000000002,8.201264
ENSG00000007080,487.67617983803336,0.4951837576573082,0.16173796016175232,3.0616421597136534,0.0022012643614999806,0.028559348226356345,CCDC124,145.159681,181.717589
ENSG00000007216,24.151245318076064,-4.183982216559886,0.8637410580076429,-4.84402377051626,1.2723570039058715e-6,2.535231889547476e-4,SLC13A2,0.37027899999999997,6.5827599999999995
ENSG00000007384,549.1574676148896,-0.6984393818967759,0.21881021226831265,-3.191987131936627,0.0014129762743414554,0.02116521147135008,RHBDF1,61.343259,161.511703
