gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,post_expression_mean_tpm,pre_expression_mean_tpm
ENSG00000001630,1051.2651690760608,-0.7446262248276222,0.16690939863332613,-4.461260006474828,8.147916006003723e-6,0.011076778428777216,CYP51A1,8.964246272727273,12.043390272727272
ENSG00000006118,1932.9342067820676,-1.3654390093274005,0.33784907853228446,-4.041564994817414,5.3095660043205156e-5,0.026810274284101848,TMEM132A,9.578045090909091,18.029987272727272
ENSG00000006327,492.5451941769283,-1.322379539512532,0.31928851641071765,-4.141644536352461,3.448244664213102e-5,0.02101407860366833,TNFRSF12A,4.933403227272727,10.228025454545454
ENSG00000006625,610.2695513092103,-1.0262676867119989,0.25981599704800046,-3.9499788249081447,7.815810742363224e-5,0.03348737418600009,GGCT,12.057221227272727,21.595571727272727
ENSG00000008118,8.390786744177465,1.7985956532701235,0.46193828950318033,3.89358426036632,9.877387173080722e-5,0.03794849206735992,CAMK1G,0.10061413636363636,0.025438181818181818
ENSG00000057294,309.1979252783716,-1.1143978970539352,0.2890827983069002,-3.8549436479124304,1.1575628956542597e-4,0.04107548023977032,PKP2,1.7038733636363637,2.347820590909091
ENSG00000071073,1769.2286931776491,-0.864121954607226,0.22632042397554689,-3.818135099908576,1.344642878513326e-4,0.04158714516733349,MGAT4A,10.064418181818182,12.674305545454546
ENSG00000076604,2706.6706924468854,-1.9179770862558994,0.4296936036878523,-4.463592359287711,8.059683334255898e-6,0.011076778428777216,TRAF4,20.808096227272728,51.17900172727273
ENSG00000081803,719.9349806680317,-1.008070599281837,0.22713132282127033,-4.438272039101749,9.068395949247609e-6,0.011324788058396219,CADPS2,2.8914724545454544,3.962008909090909
ENSG00000099219,1021.457569020027,-0.9931610827146073,0.24959463835349774,-3.979096222844362,6.917774055998319e-5,0.03304265429504278,ERMP1,4.082831772727273,5.978407545454545
ENSG00000101608,2139.571751880636,-0.6880717497751246,0.18370168656086586,-3.745592991859364,1.7996816640894627e-4,0.0479093611000361,MYL12A,56.60491463636364,74.0349660909091
ENSG00000101846,371.8835072091282,-1.06629926657584,0.2862694326781316,-3.7248100735042105,1.9546232635052883e-4,0.0486536013182098,STS,1.0504013636363636,1.5492451818181818
ENSG00000102144,5552.832086907769,-0.9559793798614711,0.24153634174313263,-3.9579111489488787,7.560807041065264e-5,0.03348737418600009,PGK1,33.17586013636364,55.06751581818182
ENSG00000103742,360.93071553610514,1.409761508041316,0.35729489867503855,3.945652493973895,7.958296360617914e-5,0.03348737418600009,IGDCC4,2.8043890454545455,0.6521596363636364
ENSG00000105141,656.8188967872775,-3.2892581837642973,0.6589323554592768,-4.991799471543144,5.981934358403241e-7,0.0036061833296542234,CASP14,0.5903815909090909,6.213524318181818
ENSG00000105808,1062.4887401636547,0.8242236931398703,0.20363381532350838,4.047577716060788,5.175040210647602e-5,0.026810274284101848,RASA4,14.233903636363635,5.763449681818182
ENSG00000105854,633.0643421872522,-0.7274515916886108,0.1832576350367969,-3.969556802053805,7.2006440385799755e-05,0.03348737418600009,PON2,18.397463318181817,21.158647772727274
ENSG00000107020,155.88124231862955,-0.784244402219973,0.2082323161304052,-3.766199295064466,1.6575150107975384e-4,0.046497242517182374,PLGRKT,5.248445363636364,6.952621954545455
ENSG00000107159,37.028033261989705,-3.337326661022914,0.6985976752089268,-4.777179740864201,1.7777086082318033e-6,0.006200253181470372,CA9,0.18477,1.3326135
ENSG00000108256,3377.248294319546,-1.007533046125236,0.2516373293767057,-4.0039093111536745,6.230425699053612e-5,0.030586198160937356,NUFIP2,9.907112136363637,14.618109681818183
ENSG00000108344,4839.108522250963,-1.4293181596113171,0.3490395492822304,-4.095003453192012,4.221620955079792e-5,0.02260869913306823,PSMD3,21.894077227272728,41.37513877272727
ENSG00000110900,148.68733578841255,1.0999559149606097,0.23190780490096877,4.74307415151604,2.104991743836487e-6,0.006200253181470372,TSPAN11,0.8487707272727273,0.31026268181818184
ENSG00000115355,2152.2152411540665,0.4948762979964864,0.12939285688035365,3.824602918027277,1.309830222502826e-4,0.04158714516733349,CCDC88A,32.44647490909091,17.297789045454547
ENSG00000116285,696.0900319601411,-1.3994085978614028,0.31025274568641686,-4.510543797977644,6.466164849063726e-6,0.010388775579773022,ERRFI1,4.85194,8.907821
ENSG00000117528,670.8884816168196,-0.8432141563363116,0.19704504221380237,-4.279296484005864,1.874849812757727e-5,0.016231490162782043,ABCD3,9.736043681818181,13.042125545454546
ENSG00000121005,250.17182360342787,1.7011857544790328,0.4423200569050656,3.846051581703778,1.2003650343636611e-4,0.04107548023977032,CRISPLD1,5.949788590909091,1.7035434999999999
ENSG00000129521,613.3432637313794,-2.020126301895735,0.47365825927162314,-4.264944740966245,1.999516826780987e-5,0.016231490162782043,EGLN3,2.921797727272727,8.037850636363636
ENSG00000130234,262.1353610416075,-6.195665846670853,1.6094000671037272,-3.849674157041984,1.1827506223755296e-4,0.04107548023977032,ACE2,0.9983007272727272,3.3125026363636363
ENSG00000134333,4409.3551423604495,-1.01976175946909,0.23063814334509805,-4.421479225763824,9.802749051789056e-6,0.011324788058396219,LDHA,56.42960240909091,95.12370513636364
ENSG00000137486,1086.954468270319,0.6570187969903677,0.1661459987158624,3.954466565962749,7.670559676626793e-5,0.03348737418600009,ARRB1,14.60411918181818,7.4156521363636365
ENSG00000137955,686.6701337145395,-0.9988085885198663,0.24189150213747204,-4.1291594772611,3.64091805205884e-5,0.02144864824467863,RABGGTB,12.137961590909091,18.15851818181818
